time,open,high,low,close,Volume
386805600,114.58999634,115.36000061,114.58999634,115.23999786,NaN
387410400,115.01999664,115.16000366,114.66999817,115.09999847,NaN
388015200,114.44999695,114.44999695,113.72000122,113.72000122,NaN
388616400,113.01000214,113.01000214,111.59999847,111.59999847,NaN
389221200,111.51000214,111.98000336,109.86000061,109.86000061,NaN
389826000,109.73000336,110.76999664,109.69999695,110.76999664,NaN
390430800,110.79000092,111.61000061,110.79000092,111.05000305,NaN
391035600,110.79000092,112.79000092,110.79000092,112.79000092,NaN
391640400,113.70999908,113.70999908,113.25,113.37000275,NaN
392245200,114.01000214,115.5,114.01000214,115.05000305,NaN
392850000,117.15000153,119.01000214,117.15000153,119.01000214,NaN
393454800,119.81999969,120.11000061,118.87000275,120.11000061,NaN
394059600,120.47000122,120.47000122,119.04000092,119.62000275,NaN
394664400,120.16999817,121.05999756,119.95999908,119.95999908,NaN
395269200,119.22000122,120.18000031,119.22000122,119.26999664,NaN
395874000,119.08999634,119.08999634,116.12000275,116.12000275,NaN
396478800,116.66999817,119.05000305,116.19999695,119.05000305,NaN
397083600,117.80000305,120.23999786,117.80000305,120.23999786,NaN
397688400,121.16000366,121.41000366,120.93000031,120.93000031,NaN
398293200,121.31999969,121.31999969,118.34999847,118.34999847,NaN
398898000,118.40000153,119.12000275,116.94999695,119.12000275,NaN
399502800,120.66999817,120.66999817,118.77999878,119.55000305,NaN
400107600,119.51999664,121,119.51999664,121,NaN
400712400,121.45999908,121.45999908,120.79000092,120.79000092,NaN
401317200,120.94000244,121.45999908,120.59999847,121.45999908,NaN
401922000,122.62999725,122.76000214,122.13999939,122.13999939,NaN
402526800,123.37999725,123.37999725,122.55999756,122.94000244,NaN
403131600,121.23000336,122.76999664,121.23000336,122.76999664,NaN
403736400,122.55000305,123.41000366,122.52999878,123.41000366,NaN
404341200,124.41999817,124.77999878,124.05000305,124.77999878,NaN
404949600,124.36000061,125.37999725,124.36000061,125.36000061,NaN
405554400,126.01999664,126.01999664,124.84999847,125.41999817,NaN
406159200,125.41999817,125.41999817,123.72000122,123.72000122,NaN
406764000,123.83000183,124.16000366,122.63999939,122.63999939,NaN
407368800,121.87999725,121.87999725,119.58000183,119.58000183,NaN
407973600,119.68000031,120.66000366,119.36000061,120.48000336,NaN
408578400,121.44999695,121.44999695,119.34999847,119.61000061,NaN
409183200,119.27999878,119.27999878,118.22000122,118.22000122,NaN
409788000,117.83999634,117.91000366,117.05000305,117.36000061,NaN
410392800,116.97000122,116.97000122,115.76000214,115.76000214,NaN
410997600,115.43000031,116.66999817,115.43000031,116.38999939,NaN
411602400,116.37000275,119.59999847,116.37000275,119.59999847,NaN
412207200,120.80999756,120.80999756,119.31999969,119.76000214,NaN
412812000,121.12000275,122.27999878,120.98999786,121.41999817,NaN
413416800,120.37999725,120.37999725,118.84999847,118.84999847,NaN
414021600,119.08999634,119.08999634,118.01999664,118.52999878,NaN
414626400,119.19000244,119.51999664,119.15000153,119.44999695,NaN
415231200,120.34999847,120.79000092,119.34999847,119.34999847,NaN
