time,open,high,low,close,Volume
1468330200,2139.5,2155.4,2139.5,2152.14,4097820000
1468416600,2153.81,2156.45,2146.21,2152.43,3502320000
1468503000,2157.88,2168.99,2157.88,2163.75,3465610000
1468589400,2165.13,2169.05,2155.79,2161.74,3122600000
1468848600,2162.04,2168.35,2159.63,2166.89,3009310000
1468935000,2163.79,2164.63,2159.01,2163.78,2968340000
1469021400,2166.1,2175.63,2164.89,2173.02,3211860000
1469107800,2172.91,2174.56,2159.75,2165.17,3438900000
1469194200,2166.47,2175.11,2163.24,2175.03,3023280000
1469453400,2173.71,2173.71,2161.95,2168.48,3057240000
1469539800,2168.97,2173.54,2160.18,2169.18,3442350000
1469626200,2169.81,2174.98,2159.07,2166.58,3995500000
1469712600,2166.05,2172.85,2159.74,2170.06,3664240000
1469799000,2168.83,2177.09,2163.49,2173.6,4038840000
1470058200,2173.15,2178.29,2166.21,2170.84,3505990000
1470144600,2169.94,2170.2,2147.58,2157.03,3848750000
1470231000,2156.81,2163.79,2152.56,2163.79,3786530000
1470317400,2163.51,2168.19,2159.07,2164.25,3709200000
1470403800,2168.79,2182.87,2168.79,2182.87,3663070000
1470663000,2183.76,2185.44,2177.85,2180.89,3327550000
1470749400,2182.24,2187.66,2178.61,2181.74,3334300000
1470835800,2182.81,2183.41,2172,2175.49,3254950000
1470922200,2177.97,2188.45,2177.97,2185.79,3423160000
1471008600,2183.74,2186.28,2179.42,2184.05,3000660000
1471267800,2186.08,2193.81,2186.08,2190.15,3078530000
1471354200,2186.24,2186.24,2178.14,2178.15,3196400000
1471440600,2177.84,2183.08,2168.5,2182.22,3388910000
1471527000,2181.9,2187.03,2180.46,2187.02,3300570000
1471613400,2184.24,2185,2175.13,2183.87,3084800000
1471872600,2181.58,2185.15,2175.96,2182.64,2777550000
1471959000,2187.81,2193.42,2186.8,2186.9,3041490000
1472045400,2185.09,2186.66,2171.25,2175.44,3148280000
1472131800,2173.29,2179,2169.74,2172.47,2969310000
1472218200,2175.1,2187.94,2160.39,2169.04,3342340000
1472477400,2170.19,2183.48,2170.19,2180.38,2654780000
1472563800,2179.45,2182.27,2170.41,2176.12,3006800000
1472650200,2173.56,2173.79,2161.35,2170.95,3766390000
1472736600,2171.33,2173.56,2157.09,2170.86,3392120000
1472823000,2177.49,2184.87,2173.59,2179.98,3091120000
1473168600,2181.61,2186.57,2175.1,2186.48,3447650000
1473255000,2185.17,2187.87,2179.07,2186.16,3319420000
1473341400,2182.76,2184.94,2177.49,2181.3,3727840000
1473427800,2169.08,2169.08,2127.81,2127.81,4233960000
1473687000,2120.86,2163.3,2119.12,2159.04,4010480000
1473773400,2150.47,2150.47,2120.27,2127.02,4141670000
1473859800,2127.86,2141.33,2119.9,2125.77,3664100000
1473946200,2125.36,2151.31,2122.36,2147.26,3373720000
1474032600,2146.48,2146.48,2131.2,2139.16,5014360000
1474291800,2143.99,2153.61,2135.91,2139.12,3163000000
1474378200,2145.94,2150.8,2139.17,2139.76,3140730000
1474464600,2144.58,2165.11,2139.57,2163.12,3712090000
1474551000,2170.94,2179.99,2170.94,2177.18,3552830000
1474637400,2173.29,2173.75,2163.97,2164.69,3317190000
1474896600,2158.54,2158.54,2145.04,2146.1,3216170000
1474983000,2146.04,2161.13,2141.55,2159.93,3437770000
1475069400,2161.85,2172.4,2151.79,2171.37,3891460000
1475155800,2168.9,2172.67,2145.2,2151.13,4249220000
1475242200,2156.51,2175.3,2156.51,2168.27,4173340000
1475501400,2164.33,2164.41,2154.77,2161.2,3137550000
1475587800,2163.37,2165.46,2144.01,2150.49,3750890000
1475674200,2155.15,2163.95,2155.15,2159.73,3906550000
1475760600,2158.22,2162.93,2150.28,2160.77,3461550000
1475847000,2164.19,2165.86,2144.85,2153.74,3619890000
1476106200,2160.39,2169.6,2160.39,2163.66,2916550000
1476192600,2161.35,2161.56,2128.84,2136.73,3438270000
1476279000,2137.67,2145.36,2132.77,2139.18,2977100000
1476365400,2130.26,2138.19,2114.72,2132.55,3580450000
1476451800,2139.68,2149.19,2132.98,2132.98,3228150000
1476711000,2132.95,2135.61,2124.43,2126.5,2830390000
1476797400,2138.31,2144.38,2135.49,2139.6,3170000000
1476883800,2140.81,2148.44,2138.15,2144.29,3362670000
1476970200,2142.51,2147.18,2133.44,2141.34,3337170000
1477056600,2139.43,2142.63,2130.09,2141.16,3448850000
1477315800,2148.5,2154.79,2146.91,2151.33,3357320000
1477402200,2149.72,2151.44,2141.93,2143.16,3751340000
1477488600,2136.97,2145.73,2131.59,2139.43,3775200000
1477575000,2144.06,2147.13,2132.52,2133.04,4204830000
1477661400,2132.23,2140.72,2119.36,2126.41,4019510000
1477920600,2129.78,2133.25,2125.53,2126.15,3922400000
1478007000,2128.68,2131.45,2097.85,2111.72,4532160000
1478093400,2109.43,2111.76,2094,2097.94,4248580000
1478179800,2098.8,2102.56,2085.23,2088.66,3886740000
1478266200,2083.79,2099.07,2083.79,2085.18,3837860000
1478529000,2100.59,2132,2100.59,2131.52,3736060000
1478615400,2129.92,2146.87,2123.56,2139.56,3916930000
1478701800,2131.56,2170.1,2125.35,2163.26,6264150000
1478788200,2167.49,2182.3,2151.17,2167.48,6451640000
1478874600,2162.71,2165.92,2152.49,2164.45,4988050000
1479133800,2165.64,2171.36,2156.08,2164.2,5367200000
1479220200,2168.29,2180.84,2166.38,2180.39,4543860000
1479306600,2177.53,2179.22,2172.2,2176.94,3830590000
1479393000,2178.61,2188.06,2176.65,2187.12,3809160000
1479479400,2186.85,2189.89,2180.38,2181.9,3572400000
1479738600,2186.43,2198.7,2186.43,2198.18,3607010000
1479825000,2201.56,2204.8,2194.51,2202.94,3957940000
1479911400,2198.55,2204.72,2194.51,2204.72,3418640000
1480084200,2206.27,2213.35,2206.27,2213.35,1584600000
1480343400,2210.21,2211.14,2200.36,2201.72,3505650000
1480429800,2200.76,2210.46,2198.15,2204.66,3706560000
1480516200,2204.97,2214.1,2198.81,2198.81,5533980000
1480602600,2200.17,2202.6,2187.44,2191.08,5063740000
1480689000,2191.12,2197.95,2188.37,2191.95,3779500000
1480948200,2200.65,2209.42,2199.97,2204.71,2353018270
1481034600,2207.26,2212.78,2202.21,2212.23,2170130800
1481121000,2210.72,2241.63,2208.93,2241.35,2734848000
1481207400,2241.13,2251.69,2237.57,2246.19,2436820230
1481293800,2249.73,2259.8,2249.23,2259.53,2200678360
1481553000,2258.83,2264.03,2252.37,2256.96,2358393110
1481639400,2263.32,2277.53,2263.32,2271.72,2311255270
1481725800,2268.35,2276.2,2248.44,2253.28,2660459790
1481812200,2253.77,2272.12,2253.77,2262.03,2428153810
1481898600,2266.81,2268.05,2254.24,2258.07,3710589000
1482157800,2259.24,2267.47,2258.21,2262.53,1855781420
1482244200,2266.5,2272.56,2266.14,2270.76,1797798600
1482330600,2270.54,2271.23,2265.15,2265.18,1585087530
1482417000,2262.93,2263.18,2256.08,2260.96,1713661490
1482503400,2260.25,2263.79,2258.84,2263.79,1082067040
1482849000,2266.23,2273.82,2266.15,2268.88,1090974760
1482935400,2270.23,2271.31,2249.11,2249.92,1343528460
1483021800,2249.5,2254.51,2244.56,2249.26,1264830310
1483108200,2251.61,2253.58,2233.62,2238.83,1580595290
1483453800,2251.57,2263.88,2245.13,2257.83,2318947700
1483540200,2261.6,2272.82,2261.6,2270.75,2097360280
1483626600,2268.18,2271.5,2260.45,2269,2187189990
1483713000,2271.14,2282.1,2264.06,2276.98,1957181140
1483972200,2273.59,2275.49,2268.9,2268.9,1914652520
1484058600,2269.72,2279.27,2265.27,2268.9,2138024560
1484145000,2268.6,2275.32,2260.83,2275.32,2118289880
1484231400,2271.14,2271.78,2254.25,2270.44,1937385140
1484317800,2272.74,2278.68,2271.51,2274.64,1780997920
1484663400,2269.14,2272.08,2262.81,2267.89,2212200210
1484749800,2269.14,2272.01,2263.35,2271.89,1998643920
1484836200,2271.9,2274.33,2258.41,2263.69,2041282770
1484922600,2269.96,2276.96,2265.01,2271.31,2311814030
1485181800,2267.78,2271.78,2257.02,2265.2,1990552390
1485268200,2267.88,2284.63,2266.68,2280.07,2229227180
1485354600,2288.88,2299.55,2288.88,2298.37,2461512020
1485441000,2298.63,2300.99,2294.08,2296.68,2333681820
1485527400,2299.02,2299.02,2291.62,2294.69,1999261100
1485786600,2286.01,2286.01,2268.04,2280.9,2108083820
1485873000,2274.02,2279.09,2267.21,2278.87,2555320210
1485959400,2285.59,2289.14,2272.44,2279.55,2478979660
1486045800,2276.69,2283.97,2271.65,2280.85,2321960100
1486132200,2288.54,2298.31,2287.88,2297.42,2208634270
1486391400,2294.28,2296.18,2288.57,2292.56,1902540480
1486477800,2295.87,2299.4,2290.16,2293.08,2079166230
1486564200,2289.55,2295.91,2285.38,2294.67,2113479930
1486650600,2296.7,2311.08,2296.61,2307.87,2118564110
1486737000,2312.27,2319.23,2311.1,2316.1,2067124620
1486996200,2321.72,2331.58,2321.42,2328.25,1958736590
1487082600,2326.12,2337.58,2322.17,2337.58,2161361270
1487169000,2335.58,2351.3,2334.81,2349.25,2251620060
1487255400,2349.64,2351.31,2338.87,2347.22,2086044780
1487341800,2343.01,2351.16,2339.58,2351.16,2119431710
1487687400,2354.91,2366.71,2354.91,2365.38,2108632110
1487773800,2361.11,2365.13,2358.34,2362.82,1953850310
1487860200,2367.5,2368.26,2355.09,2363.81,2200798000
1487946600,2355.73,2367.34,2352.87,2367.34,2190395580
1488205800,2365.23,2371.54,2361.87,2369.75,1881303610
1488292200,2366.08,2367.79,2358.96,2363.64,2538169010
