time,open,high,low,close,Volume
631181400,18.19,20.11,18.19,20.11,NaN
631786200,20.26,24.64,20.05,24.64,NaN
632391000,26.34,26.34,22.5,22.5,NaN
632995800,26.7,26.7,24.72,26.28,NaN
633600600,26.44,27.25,24.32,24.32,NaN
634205400,24.54,24.69,23.69,23.69,NaN
634810200,24.38,24.38,19.71,20.78,NaN
635415000,22.78,23.89,22.54,23.69,NaN
636019800,23.56,23.56,21.34,21.34,NaN
636624600,22.03,22.03,19.1,20.3,NaN
637229400,20.07,21.05,17.62,17.62,NaN
637834200,18.29,22.74,18.29,20.46,NaN
638439000,19.59,21.01,18.46,19.73,NaN
639040200,22.84,22.84,20.44,21.76,NaN
639645000,22.3,22.3,17.73,19.8,NaN
640249800,20.75,23.33,20.38,23.33,NaN
640854600,24.16,24.16,20.25,22.19,NaN
641459400,19.52,19.52,17.28,17.28,NaN
642064200,17.65,19.81,17.65,19.81,NaN
642669000,20.14,20.14,17.2,17.2,NaN
643273800,16.72,17.84,16.72,17.32,NaN
643878600,18.75,18.75,17.09,17.09,NaN
644483400,18.39,18.97,16.88,17.58,NaN
645088200,16.34,17.4,15.9,15.9,NaN
645693000,17.71,19.36,14.72,19.36,NaN
646297800,17.06,17.06,15.5,15.5,NaN
646902600,16.26,17.25,16.11,16.41,NaN
647507400,16.66,17.09,16.66,17.09,NaN
648112200,16.75,18.9,15.63,15.63,NaN
648717000,23.68,23.68,20.19,21.12,NaN
649321800,21.16,28.74,20.43,28.74,NaN
649926600,35.91,35.91,24.39,25.75,NaN
650531400,25.74,27.53,23.31,27.53,NaN
651136200,26.46,36.47,26.46,33.93,NaN
651741000,29.63,29.9,27.38,29.9,NaN
652345800,29.58,30.19,28.52,28.73,NaN
652950600,29.34,30.56,28.12,30.56,NaN
653555400,29.55,30.04,27.88,30.04,NaN
654160200,30.56,30.56,28.19,29.11,NaN
654765000,28.06,28.06,27.28,27.85,NaN
655369800,28.04,33.98,28.04,31.94,NaN
655974600,31.64,31.64,27.86,27.86,NaN
656579400,27.27,30.75,27.27,30.75,NaN
657187800,31.54,31.54,30.03,30.03,NaN
657792600,29.85,30.87,26.96,26.96,NaN
658397400,25.6,25.6,21.34,21.34,NaN
659002200,20.95,21.09,20.09,20.98,NaN
659607000,22.76,23.91,22.16,22.16,NaN
660211800,22.29,22.62,20.94,22.59,NaN
660816600,23.58,23.85,21.28,23.85,NaN
661421400,24.85,24.85,22.66,22.66,NaN
