time,open,high,low,close,Volume
1355788800,79.567,79.606,79.26,79.359,NaN
1355875200,79.356,79.456,79.008,79.269,NaN
1355961600,79.369,79.416,79.032,79.261,NaN
1356048000,79.318,79.654,79.272,79.617,NaN
1356300000,79.551,79.71,79.371,79.642,NaN
1356480000,79.674,79.767,79.421,79.621,NaN
1356566400,79.563,79.789,79.355,79.62,NaN
1356652800,79.647,79.93,79.587,79.678,NaN
1356904800,79.676,79.853,79.584,79.769,NaN
1357084800,79.759,79.933,79.283,79.845,NaN
1357171200,79.815,80.589,79.795,80.382,NaN
1357257600,80.564,80.868,80.413,80.499,NaN
1357509600,80.481,80.684,80.115,80.256,NaN
1357603200,80.145,80.447,80.107,80.345,NaN
1357689600,80.292,80.641,80.287,80.557,NaN
1357776000,80.601,80.674,79.671,79.738,NaN
1357862400,79.78,79.861,79.435,79.563,NaN
1358114400,79.543,79.65,79.345,79.488,NaN
1358208000,79.503,79.872,79.386,79.779,NaN
1358294400,79.692,79.899,79.608,79.804,NaN
1358380800,79.855,79.904,79.57,79.649,NaN
1358467200,79.696,80.187,79.646,80.036,NaN
1358812800,80.064,80.092,79.694,79.874,NaN
1358899200,79.877,80.128,79.698,79.92,NaN
1358985600,79.977,80.15,79.861,79.949,NaN
1359072000,79.997,80.086,79.677,79.748,NaN
1359324000,79.742,79.926,79.719,79.767,NaN
1359417600,79.786,79.859,79.521,79.564,NaN
1359504000,79.579,79.616,79.183,79.281,NaN
1359590400,79.246,79.369,79.133,79.207,NaN
1359676800,79.122,79.299,78.918,79.125,NaN
1359928800,79.203,79.612,79.179,79.554,NaN
1360022400,79.588,79.785,79.451,79.488,NaN
1360108800,79.533,79.864,79.492,79.721,NaN
1360195200,79.742,80.281,79.539,80.192,NaN
1360281600,80.243,80.281,79.941,80.246,NaN
1360533600,80.212,80.401,80.108,80.31,NaN
1360627200,80.352,80.508,79.916,80.106,NaN
1360713600,80.037,80.178,79.84,80.091,NaN
1360800000,80.07,80.621,80.052,80.458,NaN
1360886400,80.429,80.596,80.216,80.58,NaN
1361232000,80.644,80.679,80.425,80.468,NaN
1361318400,80.43,81.116,80.271,81.069,NaN
1361404800,81.078,81.508,81.034,81.461,NaN
1361491200,81.356,81.594,81.171,81.482,NaN
1361743200,81.479,81.916,81.067,81.67,NaN
1361836800,81.813,81.948,81.584,81.87,NaN
1361923200,81.878,81.918,81.499,81.602,NaN
1362009600,81.508,81.998,81.474,81.949,NaN
1362096000,81.923,82.509,81.78,82.313,NaN
1362348000,82.304,82.465,82.157,82.195,NaN
1362441600,82.127,82.243,81.9,82.087,NaN
1362528000,82.042,82.604,81.925,82.459,NaN
1362614400,82.567,82.594,81.957,82.081,NaN
1362700800,82.11,82.924,82.071,82.696,NaN
1362949200,82.714,82.834,82.522,82.573,NaN
1363042800,82.658,82.791,82.41,82.584,NaN
1363129200,82.597,83.055,82.333,82.889,NaN
1363215600,82.901,83.166,82.427,82.606,NaN
1363302000,82.537,82.613,82.051,82.261,NaN
1363554000,82.512,82.881,82.437,82.694,NaN
1363647600,82.713,83.096,82.622,82.989,NaN
1363734000,83.044,83.044,82.569,82.779,NaN
1363820400,82.878,83.021,82.684,82.74,NaN
1363906800,82.812,82.826,82.289,82.376,NaN
1364158800,82.38,82.953,82.146,82.828,NaN
1364252400,82.883,82.98,82.718,82.881,NaN
1364338800,82.872,83.302,82.841,83.221,NaN
1364425200,83.204,83.258,82.833,82.998,NaN
1364763600,82.993,83.181,82.647,82.733,NaN
1364857200,82.728,82.952,82.493,82.924,NaN
1364943600,82.901,83.065,82.621,82.718,NaN
1365030000,82.731,83.494,82.627,82.677,NaN
1365116400,82.757,82.893,82.273,82.496,NaN
1365368400,82.629,82.829,82.485,82.752,NaN
1365462000,82.74,82.74,82.279,82.309,NaN
1365548400,82.384,82.571,82.229,82.532,NaN
1365634800,82.524,82.582,82.068,82.247,NaN
1365721200,82.222,82.491,82.046,82.311,NaN
1365973200,82.104,82.439,82.104,82.417,NaN
1366066800,82.323,82.518,81.716,81.749,NaN
1366153200,81.818,82.701,81.818,82.684,NaN
1366239600,82.637,82.655,82.349,82.559,NaN
1366326000,82.559,82.784,82.311,82.714,NaN
1366578000,82.752,82.906,82.632,82.676,NaN
1366671600,82.633,83.057,82.52,83.048,NaN
1366758000,83.015,83.19,82.847,83.048,NaN
1366844400,82.911,82.936,82.398,82.744,NaN
1366930800,82.797,82.812,82.393,82.502,NaN
1367182800,82.475,82.475,82.035,82.147,NaN
1367276400,82.159,82.269,81.598,81.746,NaN
1367362800,81.719,81.737,81.331,81.484,NaN
1367449200,81.62,82.349,81.505,82.224,NaN
1367535600,82.224,82.517,81.909,82.125,NaN
1367787600,82.105,82.412,81.982,82.315,NaN
1367881200,82.324,82.351,82.065,82.253,NaN
1367967600,82.283,82.323,81.719,81.896,NaN
1368054000,81.908,82.824,81.782,82.793,NaN
1368140400,82.685,83.438,82.68,83.143,NaN
1368392400,83.272,83.36,83.073,83.277,NaN
1368486000,83.219,83.687,82.957,83.595,NaN
1368572400,83.62,84.094,83.542,83.83,NaN
1368658800,83.805,83.995,83.448,83.588,NaN
