time,open,high,low,close,Volume
1463469000,14.57,16.12,14.48,15.57,NaN
1463555400,15.72,16.47,14.86,15.95,NaN
1463641800,16.37,17.65,16.28,16.33,NaN
1463728200,16.13,16.3,15.11,15.2,NaN
1463987400,16.33,16.47,15.4,15.82,NaN
1464073800,16.03,16.06,14.36,14.42,NaN
1464160200,14.19,14.33,13.64,13.9,NaN
1464246600,13.8,14.11,13.43,13.43,NaN
1464333000,13.49,13.76,13.04,13.12,NaN
1464678600,13.94,15,13.45,14.19,NaN
1464765000,14.45,15.25,14.18,14.2,NaN
1464851400,14.42,14.92,13.62,13.63,NaN
1464937800,13.78,14.66,12.9,13.47,NaN
1465197000,13.84,14.27,13.42,13.65,NaN
1465283400,12.77,14.05,12.72,14.05,NaN
1465369800,13.84,14.27,13.7,14.08,NaN
1465456200,14.01,14.85,13.99,14.64,NaN
1465542600,14.89,17.33,14.85,17.03,NaN
1465801800,18.24,21.01,17.89,20.97,NaN
1465888200,21.28,22.16,20.27,20.5,NaN
1465974600,20.25,20.45,18.63,20.14,NaN
1466061000,20.8,22.89,19.24,19.37,NaN
1466147400,19.42,20.03,18.71,19.41,NaN
1466406600,17.42,18.55,16.59,18.37,NaN
1466493000,17.67,18.96,16.91,18.48,NaN
1466579400,18.26,21.22,17.83,21.17,NaN
1466665800,19.54,19.79,17.25,17.25,NaN
1466752200,26.06,26.24,19.48,25.76,NaN
1467011400,24.38,26.72,22.93,23.85,NaN
1467097800,21.76,22.07,18.75,18.75,NaN
1467184200,18.12,18.27,16.48,16.64,NaN
1467270600,16.91,16.99,15.29,15.63,NaN
1467357000,15.59,15.86,14.61,14.77,NaN
1467702600,16.05,16.62,15.49,15.58,NaN
1467789000,15.87,17.04,14.96,14.96,NaN
1467875400,14.8,15.98,14.33,14.76,NaN
1467961800,14.64,14.75,13.19,13.2,NaN
1468221000,13.25,13.67,13,13.54,NaN
1468307400,12.93,13.93,12.75,13.55,NaN
1468393800,13.32,13.79,12.92,13.04,NaN
1468480200,12.5,13.37,12.14,12.82,NaN
1468566600,13.12,13.22,12.27,12.67,NaN
1468825800,12.75,13.12,12.33,12.44,NaN
1468912200,12.53,12.83,11.94,11.97,NaN
1468998600,11.94,11.97,11.4,11.77,NaN
1469085000,11.8,13.06,11.69,12.74,NaN
1469171400,12.8,12.88,11.97,12.02,NaN
1469430600,12.64,13.72,12.39,12.87,NaN
1469517000,12.98,13.5,12.8,13.05,NaN
1469603400,12.61,13.74,12.5,12.83,NaN
1469689800,12.51,13.52,12.36,12.72,NaN
1469776200,12.85,12.9,11.77,11.87,NaN
1470035400,11.89,12.98,11.86,12.44,NaN
1470121800,12.39,14.24,12.35,13.37,NaN
1470208200,13.53,13.91,12.73,12.86,NaN
1470294600,12.73,12.98,11.79,12.42,NaN
1470381000,12.08,12.26,11.18,11.39,NaN
1470640200,11.66,11.78,11.41,11.5,NaN
1470726600,11.4,11.92,11.02,11.66,NaN
1470813000,11.55,12.5,11.37,12.05,NaN
1470899400,11.93,12.11,11.38,11.68,NaN
1470985800,11.61,12,11.28,11.55,NaN
1471245000,11.81,12.17,11.58,11.81,NaN
1471331400,12.04,12.78,11.87,12.64,NaN
1471417800,12.57,13.71,12.14,12.19,NaN
1471504200,12.2,12.53,11.42,11.43,NaN
1471590600,11.67,12.28,11.33,11.34,NaN
1471849800,12.53,13.02,11.94,12.27,NaN
1471936200,12.15,12.44,11.72,12.38,NaN
1472022600,12.7,14.01,12.3,13.45,NaN
1472109000,13.62,14.09,13.29,13.63,NaN
1472195400,13.54,14.93,12.13,13.65,NaN
1472454600,14.09,14.43,12.9,12.94,NaN
1472541000,12.94,13.6,12.7,13.12,NaN
1472627400,13.14,14.34,12.97,13.42,NaN
1472713800,13.07,14.61,12.99,13.48,NaN
1472800200,13.47,13.9,11.9,11.98,NaN
1473145800,12.42,12.93,11.85,12.02,NaN
1473232200,11.89,12.45,11.77,11.94,NaN
1473318600,11.74,12.6,11.65,12.51,NaN
1473405000,12.52,17.54,12.52,17.5,NaN
1473664200,20.13,20.51,14.76,15.16,NaN
1473750600,15.98,18.97,15.83,17.85,NaN
1473837000,17.63,18.14,16.34,18.14,NaN
1473923400,17.97,18.07,15.74,16.3,NaN
1474009800,16.41,17.1,15.28,15.37,NaN
1474269000,15.14,15.96,14.6,15.53,NaN
1474355400,14.98,16.09,14.69,15.92,NaN
1474441800,15.07,15.65,12.98,13.3,NaN
1474528200,13.39,13.39,11.76,12.02,NaN
1474614600,12,12.58,11.93,12.29,NaN
1474873800,13.26,14.63,13.26,14.5,NaN
1474960200,13.36,14.24,12.97,13.1,NaN
1475046600,12.9,13.57,12.24,12.39,NaN
1475133000,12.53,15.69,12.14,14.02,NaN
1475219400,14.91,15.2,12.53,13.29,NaN
1475478600,13.75,14.42,13.42,13.57,NaN
1475565000,13.4,14.57,12.92,13.63,NaN
1475651400,13.56,13.68,12.7,12.99,NaN
1475737800,13.11,13.84,12.8,12.84,NaN
1475824200,13.52,14.15,12.21,13.48,NaN
1476083400,14.19,14.36,13.29,13.38,NaN
1476169800,13.71,16.47,13.69,15.36,NaN
1476256200,15.53,16.34,15.26,15.91,NaN
1476342600,16.88,17.95,16.14,16.69,NaN
1476429000,16.49,16.5,15.25,16.12,NaN
1476688200,17.01,17.11,16.13,16.21,NaN
1476774600,15.82,15.85,15.03,15.28,NaN
1476861000,15.45,15.68,13.87,14.41,NaN
1476947400,14.43,14.72,13.74,13.75,NaN
1477033800,14.04,14.53,13.27,13.34,NaN
1477293000,13.19,13.26,12.83,13.02,NaN
1477379400,12.91,13.86,12.73,13.46,NaN
1477465800,13.66,14.8,13.66,14.24,NaN
1477552200,14.37,15.43,13.6,15.36,NaN
1477638600,15.67,17.35,14.65,16.19,NaN
1477897800,16.31,17.63,16.25,17.06,NaN
1477984200,16.54,20.43,16.51,18.56,NaN
1478070600,19.09,19.82,18.56,19.32,NaN
1478157000,19.85,22.57,18.84,22.08,NaN
1478243400,21.86,23.01,19.2,22.51,NaN
1478506200,19.78,19.86,18.39,18.71,NaN
1478592600,18.92,19.91,17.7,18.74,NaN
1478679000,20.7,21.48,14.33,14.38,NaN
1478765400,14.01,16.3,13.26,14.74,NaN
1478851800,14.83,16,14.15,14.17,NaN
1479111000,14.69,15.56,14.39,14.48,NaN
1479197400,14.16,14.65,13.3,13.37,NaN
1479283800,13.51,14.49,13.51,13.72,NaN
1479370200,13.37,13.55,12.97,13.35,NaN
1479456600,13.56,13.74,12.85,12.85,NaN
1479715800,13.27,13.44,12.16,12.42,NaN
1479802200,12.26,12.83,12.2,12.41,NaN
1479888600,12.34,13.01,12.19,12.43,NaN
1480061400,12.52,12.74,12.31,12.34,NaN
1480320600,13.4,13.5,12.74,13.15,NaN
1480407000,13.07,13.55,12.62,12.9,NaN
1480493400,12.6,13.42,12.23,13.33,NaN
1480579800,13.4,14.72,13.05,14.07,NaN
1480666200,14.16,14.48,12.39,14.12,NaN
1480925400,13.75,13.77,12.14,12.14,NaN
1481011800,12.19,12.3,11.54,11.79,NaN
1481098200,11.59,12.24,11.33,12.22,NaN
1481184600,12.1,13.4,11.3,12.64,NaN
1481271000,12.59,12.72,11.67,11.75,NaN
1481530200,12.23,12.78,12.07,12.64,NaN
1481616600,12.46,13.42,12.34,12.72,NaN
1481703000,12.88,13.39,12.48,13.19,NaN
1481789400,13.07,13.24,12.46,12.79,NaN
1481875800,12.88,12.95,12.15,12.2,NaN
1482135000,12.5,12.52,11.67,11.71,NaN
1482221400,11.65,11.75,11.38,11.45,NaN
1482307800,11.44,11.49,10.93,11.27,NaN
1482394200,11.32,11.67,11.14,11.43,NaN
1482480600,11.38,11.81,11.35,11.44,NaN
1482826200,12.26,12.33,11.84,11.99,NaN
1482912600,11.89,13.04,11.85,12.95,NaN
1482999000,13.15,13.71,12.95,13.37,NaN
1483085400,13.2,14.68,13.05,14.04,NaN
1483431000,14.07,14.07,12.85,12.85,NaN
1483517400,12.78,12.8,11.63,11.85,NaN
1483603800,11.96,12.09,11.4,11.67,NaN
1483690200,11.7,11.74,10.98,11.32,NaN
1483949400,11.71,12.08,11.46,11.56,NaN
1484035800,11.59,11.79,11.31,11.49,NaN
1484122200,11.56,12.23,11.21,11.26,NaN
1484208600,11.48,12.6,11.32,11.54,NaN
1484295000,11.45,11.62,10.94,11.23,NaN
1484640600,12.2,12.75,11.79,11.87,NaN
1484727000,11.79,12.81,11.69,12.48,NaN
1484813400,12.58,13.28,12.17,12.78,NaN
1484899800,12.58,12.59,11.53,11.54,NaN
1485159000,12.3,12.62,11.59,11.77,NaN
1485245400,11.82,11.89,11.04,11.07,NaN
1485331800,10.79,11.05,10.51,10.81,NaN
1485418200,10.61,11.01,10.6,10.63,NaN
1485504600,10.57,10.82,10.3,10.58,NaN
1485763800,11.1,12.9,11.1,11.88,NaN
1485850200,12.29,12.99,11.79,11.99,NaN
1485936600,11.79,12.05,9.97,11.81,NaN
1486023000,12.37,12.47,11.62,11.93,NaN
1486109400,11.84,11.84,10.72,10.97,NaN
1486368600,11.37,11.84,11.09,11.37,NaN
1486455000,11.39,11.67,11.06,11.29,NaN
1486541400,11.19,11.82,11.15,11.45,NaN
1486627800,11.44,11.53,10.74,10.88,NaN
1486714200,10.85,10.95,10.55,10.85,NaN
1486973400,11.36,11.4,11.07,11.07,NaN
1487059800,11.17,11.34,10.73,10.74,NaN
1487146200,10.84,12.01,10.8,11.97,NaN
1487232600,12.02,12.86,11.69,11.76,NaN
1487319000,11.84,12.26,11.37,11.49,NaN
1487664600,12.05,12.09,11.5,11.57,NaN
1487751000,11.48,12.07,11.44,11.74,NaN
1487837400,11.66,12.46,11.54,11.71,NaN
1487923800,11.81,12.59,11.34,11.47,NaN
1488183000,11.78,12.14,11.53,12.09,NaN
1488269400,12.19,12.96,12.13,12.92,NaN
1488355800,12.31,12.58,11.78,12.54,NaN
1488442200,12.43,12.71,11.32,11.81,NaN
1488528600,11.96,11.97,10.94,10.96,NaN
1488787800,11.59,11.72,11.06,11.24,NaN
1488874200,11.27,11.58,11.04,11.45,NaN
1488960600,11.49,11.86,11.09,11.86,NaN
1489047000,11.75,12.43,11.62,12.3,NaN
1489133400,11.97,12.09,11.46,11.66,NaN
1489389000,12.16,12.23,11.29,11.35,NaN
1489475400,11.39,12.54,11.28,12.3,NaN
1489561800,12.12,12.25,10.6,11.63,NaN
1489648200,11.29,11.55,11.16,11.21,NaN
1489734600,11.38,11.38,10.78,11.28,NaN
1489993800,11.71,11.72,11.03,11.34,NaN
1490080200,11.15,12.85,10.92,12.47,NaN
1490166600,12.95,13.16,11.99,12.81,NaN
1490253000,12.65,13.17,12.18,13.12,NaN
1490339400,12.86,14.16,12.27,12.96,NaN
1490598600,14.78,15.11,12.48,12.5,NaN
1490685000,12.44,12.67,11.34,11.53,NaN
1490771400,11.54,11.7,11.03,11.42,NaN
1490857800,11.37,11.64,11.12,11.54,NaN
1490944200,11.61,12.54,11.5,12.37,NaN
1491203400,12.59,13.59,12.27,12.38,NaN
1491289800,12.71,13.07,11.7,11.79,NaN
1491376200,11.89,12.89,10.9,12.89,NaN
1491462600,13.11,13.22,11.7,12.39,NaN
1491549000,13.17,13.43,12.23,12.87,NaN
1491808200,13.24,14.11,12.94,14.05,NaN
1491894600,14.32,15.88,14.17,15.07,NaN
1491981000,15.16,16.16,14.84,15.77,NaN
1492067400,15.89,16.22,14.97,15.96,NaN
1492413000,16.19,16.28,14.6,14.66,NaN
1492499400,14.5,15.5,14.29,14.42,NaN
1492585800,14,15.15,13.46,14.93,NaN
1492672200,14.59,14.81,13.83,14.15,NaN
1492758600,13.85,15.33,13.85,14.63,NaN
1493017800,11.56,12.01,10.82,10.84,NaN
1493104200,10.81,11.15,10.22,10.76,NaN
1493190600,10.61,10.89,10.39,10.85,NaN
1493277000,10.72,11.08,10.33,10.36,NaN
1493363400,10.39,11.16,10.29,10.82,NaN
1493622600,10.92,11.04,9.9,10.11,NaN
1493709000,10.15,10.59,10.04,10.59,NaN
1493795400,10.56,11.15,10.4,10.68,NaN
1493881800,10.71,11.24,10.27,10.46,NaN
1493968200,10.51,10.98,9.99,10.57,NaN
1494227400,10.53,10.55,9.67,9.77,NaN
1494313800,9.87,10.14,9.56,9.96,NaN
1494400200,9.75,10.24,9.62,10.21,NaN
1494486600,10.34,11.23,10.32,10.6,NaN
1494573000,10.72,10.87,10.28,10.4,NaN
1494832200,10.54,10.88,10.25,10.42,NaN
1494918600,10.46,10.67,10.18,10.65,NaN
1495005000,11.89,15.59,11.53,15.59,NaN
1495091400,14.06,16.3,14.03,14.66,NaN
1495177800,14.23,14.23,11.72,12.04,NaN
1495437000,12.29,12.52,10.89,10.93,NaN
1495523400,11,11,10.56,10.72,NaN
