time,open,high,low,close,Volume
1556668800,70890060434.74576,72714192740.8876,68902237612.07632,70369187349.25543,27824890193.12946
1556755200,70446555286.14761,72306849462.81232,68563534050.91672,70310683290.7204,29150040333.90374
1556841600,70360703843.10162,75875858990.97655,67696389174.13333,72897046463.56793,37789550281.52205
1556928000,72905119632.63417,75957657885.8602,68577830316.93681,71829507603.8975,35748385272.46044
1557014400,71807294093.83401,73075605416.22775,69718743797.03537,71302966694.1466,28912371047.302094
1557100800,71285105149.67535,74573757394.1402,68513383245.793365,72363972784.29297,33405883556.561043
1557187200,72503547810.32324,76859461947.18347,69560658966.66782,70712123171.8671,36581812959.99692
1557273600,70394411474.00171,73644648035.92061,67981899721.17111,71520999113.3811,29664303804.892883
1557360000,71505567420.75134,73978630234.0683,67457772292.36876,70212176208.83295,30522889675.605667
1557446400,70273766913.38855,74571173054.23218,67825959859.33743,71580250308.78891,36997540005.349945
1557532800,71656887320.67029,86883255032.20697,68430305322.4223,79743660253.5592,61580632135.52088
1557619200,79770960031.11198,84988648973.4591,72930578683.37897,77338829595.61829,57828129613.48334
1557705600,77352532310.88063,90037047582.28387,71816864991.94197,80964962875.31555,53953934331.28493
1557792000,80941332379.177,94903760981.98782,78208662535.56577,89514240051.49377,68982941402.41249
1557878400,89647176584.20581,103177226365.25049,87491230537.55756,100351405696.47177,64877707085.5332
1557964800,100296681202.05579,110595689656.13599,90541053182.49228,98670839442.30139,81863449855.16544
1558051200,98612646996.73007,101357238469.5737,77216961636.10587,92240614923.99454,73124296358.221
1558137600,92348691988.27393,95666783729.63086,87756995945.44518,90013174302.59993,56072480064.09823
1558224000,89984370081.19952,103639588897.60391,87406014625.85394,99337354327.55917,58668506798.411545
1558310400,99349810579.09866,101186923909.98523,90330630580.92422,96469111514.82602,52465688864.21319
1558396800,96514023440.91833,103674095703.89914,92365034084.54297,98146030064.27386,51061835798.41752
1558483200,98140256042.01572,102080558365.84131,90101240590.62158,93035961646.3894,48429066928.75098
1558569600,92875312422.51593,97897340246.8797,88638422848.49411,94844575023.0571,48018611027.9494
1558656000,94959268457.23557,101539531103.51416,92747225011.96219,97225148359.97263,51781540072.4801
1558742400,97255379550.81458,100969239520.84683,95186783281.96027,97635449239.96707,43127435290.884796
1558828800,97616167442.11432,107474720273.203,92165949134.09131,103029588602.06424,50900699385.31293
1558915200,103099757414.77472,111244990235.40665,101548182530.03116,107013678318.41147,64756387289.324646
1559001600,107064642433.93805,111164438544.59268,102856265210.29129,108063219711.51584,56820275683.8786
1559088000,108000943633.33469,112838875594.36707,102071039331.69415,109740816768.3414,54244133910.38818
1559174400,109774321044.18344,120643867564.2622,97468244474.96817,103477468291.5426,71838113321.01347
1559260800,103534940879.3782,110693046157.44983,99906758215.58545,109352161007.30322,58810109061.67259
1559347200,109392636070.36386,112785740043.21307,104765812619.25995,107724185849.70108,53408394321.58115
1559433600,107869953241.15668,113189046965.77457,106327928589.55112,110089823018.85764,46805945496.078354
1559520000,110193178373.18607,113512419092.22162,100408097603.70276,102812041682.38013,52891635779.84777
1559606400,102709888507.52686,105289307745.62595,93166741007.88507,98542857992.94162,58175639603.78958
1559692800,98822685010.27747,103651545751.72162,95405830216.00949,100262236601.46179,48965979880.52818
1559779200,100265896983.8775,104379577588.58694,94664461312.58813,101789408235.77872,44327363033.03244
1559865600,101868824458.11945,107436437975.10178,99570595893.66943,103541975911.11191,45214211288.69512
1559952000,103508761659.88086,105519289107.60022,98991041281.21808,101736335118.22986,39263178637.95504
1560038400,101739932300.28506,103112320574.80359,94016931325.31046,96908166820.50223,40097738101.258026
1560124800,96961518195.18304,104933350779.33606,95132046270.5694,102888294744.61322,44904919457.43646
1560211200,102955100025.60065,105025558211.16138,97944378691.50537,102172189167.96143,40108425797.62067
1560297600,102336185075.86258,108906303161.90173,99857197505.89523,106299965061.37811,44586070961.98741
1560384000,106372693137.36911,110748826958.01935,102100842959.92471,105876082361.58163,44466116904.70212
1560470400,105810759277.3912,111370692225.52844,100288239257.71423,106859771224.36981,44550908638.348145
1560556800,106769867038.017,111331960213.6402,105054498721.40576,108634414863.0607,42282777187.38327
1560643200,108707730023.23566,115753001561.12015,104791804286.84592,109687096676.74435,51123301001.96428
1560729600,109655665314.80252,116964067757.3186,106799980451.39703,112424565191.09247,35748158476.73118
1560816000,112307639076.58325,114593480870.15686,105542108754.7102,109010035351.66815,36762572656.484116
1560902400,110631657322.4614,115007448731.40875,108923756900.54453,112218418058.7146,32067951568.000732
1560988800,112262098653.26398,115829873063.94351,107108756254.67001,111814621126.60425,37757719296.37511
1561075200,111852325298.35535,121018681357.63025,109388860333.07928,116747311492.4054,45776967393.95617
